t,S,I,R,D,beta,gamma,mu,R0
192.0,5765800.0,-2.0478516,53082.78,3266.651,0.019949228,0.030075261,0.00014441769,0.6601403
193.0,5765800.0,-2.0170898,53082.7,3266.6555,0.019944692,0.030075317,0.00014440075,0.65998936
194.0,5765800.0,-1.9863281,53082.62,3266.6604,0.019940233,0.030075375,0.0001443843,0.6598409
195.0,5765800.0,-1.9560547,53082.543,3266.6653,0.019935822,0.030075433,0.00014436826,0.659694
196.0,5765800.0,-1.9267578,53082.465,3266.6704,0.01993148,0.030075492,0.00014435266,0.65954936
197.0,5765800.0,-1.8979492,53082.39,3266.6755,0.019927206,0.030075552,0.00014433748,0.65940696
198.0,5765800.0,-1.8696289,53082.316,3266.681,0.019922988,0.030075613,0.00014432275,0.6592664
199.0,5765800.0,-1.8417969,53082.242,3266.686,0.01991883,0.030075675,0.00014430846,0.6591277
200.0,5765800.0,-1.8144531,53082.17,3266.6917,0.019914739,0.030075738,0.00014429455,0.6589913
201.0,5765800.0,-1.7871094,53082.098,3266.6975,0.019910702,0.030075802,0.00014428113,0.6588567
202.0,5765800.0,-1.7607422,53082.03,3266.703,0.019906737,0.030075865,0.00014426811,0.65872437
203.0,5765800.0,-1.7348633,53081.96,3266.709,0.019902825,0.03007593,0.00014425552,0.6585937
204.0,5765800.0,-1.7089844,53081.895,3266.715,0.019898985,0.030075997,0.00014424334,0.65846545
205.0,5765800.0,-1.6845703,53081.83,3266.7212,0.0198952,0.030076064,0.00014423163,0.658339
206.0,5765800.0,-1.6591797,53081.76,3266.7273,0.019891476,0.030076131,0.0001442203,0.65821457
207.0,5765800.0,-1.6357422,53081.695,3266.7336,0.019887816,0.0300762,0.0001442094,0.6580922
208.0,5765800.0,-1.6123047,53081.633,3266.7402,0.019884221,0.030076269,0.00014419896,0.657972
209.0,5765800.0,-1.5883789,53081.574,3266.7468,0.019880682,0.03007634,0.00014418892,0.65785354
210.0,5765800.0,-1.5649414,53081.516,3266.7534,0.019877207,0.03007641,0.00014417931,0.6577372
211.0,5765800.0,-1.543457,53081.453,3266.7598,0.019873794,0.030076483,0.0001441701,0.65762293
